name,team,position,club,league,games,goals,assists,points,pim,plus_minus,swiss_games,olympic_qualifier_games,age
Tim Berni,Switzerland,D,"Geneve-Servette HC ""A""",NLA,50,2,14,16,35,13,14,3,26
Dominik Egli,Switzerland,D,Frolunda HC,SHL,46,3,17,20,24,11,9,0,27
Lukas Frick,Switzerland,D,"HC Davos ""A""",NLA,51,4,32,36,10,17,5,0,31
Sven Jung,Switzerland,D,"HC Davos ""A""",NLA,50,3,11,14,30,21,4,0,31
Roman Josi,Switzerland,D,"Nashville Predators ""C""",NHL,68,13,42,55,30,-15,7,5,35
Dean Kukan,Switzerland,D,ZSC Lions,NLA,49,3,17,20,14,18,13,5,32
Christian Marti,Switzerland,D,ZSC Lions,NLA,43,1,8,9,18,11,11,5,33
Janis Moser,Switzerland,D,Tampa Bay Lightning,NHL,79,7,22,29,69,41,5,5,25
