name,team,position,club,league,games,goals,assists,points,pim,plus_minus,swiss_games,olympic_qualifier_games,age,offense_rating,defense_rating,rating,roster_probability
Tim Berni,Switzerland,D,"Geneve-Servette HC ""A""",NLA,50,2,14,16,35,13,14,3,26,61.048,65.035,63.63955,0.9182927123083848
Dominik Egli,Switzerland,D,Frolunda HC,SHL,46,3,17,20,24,11,9,0,27,63.74521739130435,65.37217391304347,64.80273913043477,0.9019573235393111
Lukas Frick,Switzerland,D,"HC Davos ""A""",NLA,51,4,32,36,10,17,5,0,31,68.30823529411765,65.65137254901961,66.58127450980392,0.8711175827435442
Sven Jung,Switzerland,D,"HC Davos ""A""",NLA,50,3,11,14,30,21,4,0,31,60.376,66.03,64.05109999999999,0.8427808145057789
Roman Josi,Switzerland,D,"Nashville Predators ""C""",NHL,68,13,42,55,30,-15,7,5,35,73.55882352941177,63.52205882352941,67.03492647058823,0.9184967588871737
Dean Kukan,Switzerland,D,ZSC Lions,NLA,49,3,17,20,14,18,13,5,32,62.74857142857143,65.82408163265308,64.7476530612245,0.922217109622144
Christian Marti,Switzerland,D,ZSC Lions,NLA,43,1,8,9,18,11,11,5,33,58.946046511627905,65.10837209302325,62.95155813953488,0.9141264848504248
Janis Moser,Switzerland,D,Tampa Bay Lightning,NHL,79,7,22,29,69,41,5,5,25,63.43037974683544,67.80822784810127,66.27598101265824,0.9140845076884876
