name,team,position,club,league,games,goals,assists,points,pim,plus_minus,latvia_games,olympic_qualifier_games,age,offense_rating,defense_rating,rating,roster_probability
Oskars Cibulskis,Latvia,D,Herning Blue Fox,DENMARK1,44,6,22,28,8,44,5,3,38,64.74545454545455,68.29636363636364,67.05354545454546,0.8718272940472518
Ralfs Freibergs,Latvia,D,HC Vitkovice,CZECH1,32,0,4,4,22,3,10,2,34,57.31,63.641875,61.42571875,0.8747408768584188
Roberts Mamcics,Latvia,D,HC Energie Karlovy Vary,CZECH1,46,0,8,8,43,-5,7,4,31,58.21391304347826,62.74065217391304,61.156293478260864,0.8854797178973393
Kristaps Zile,Latvia,D,Bili Tygri Liberec,CZECH1,52,6,6,12,41,8,8,4,28,59.652307692307694,64.36711538461537,62.71693269230769,0.9054254012068639
Arvils Bergmanis,Latvia,D,Rapid City Rush,ECHL,19,1,3,4,7,2,6,0,26,58.87368421052632,62.85263157894737,61.46,0.8022790822346262
Miks Tumanovs,Latvia,D,Jokerit,MESTIS,34,5,6,11,10,12,9,0,24,60.31705882352941,64.23470588235293,62.863529411764695,0.8681628386976354
Arturs Andzans,Latvia,D,HPK,SM-LIIGA,45,3,4,7,16,-10,13,0,24,58.135555555555555,62.34222222222222,60.86988888888889,0.8856637133235187
Alberts Smits,Latvia,D,Jukurit,SM-LIIGA,38,6,7,13,20,-3,6,4,18,61.934210526315795,63.04210526315789,62.654342105263154,0.8833208384845556
